atm_id,bank,city,lat,lon
ATM-00001,SBI,Chennai,13.04042,80.1869
ATM-00002,Kotak,Chennai,12.98008,80.27931
ATM-00003,Axis,Chennai,13.10257,80.36903
ATM-00004,HDFC,Chennai,12.9717,80.25477
ATM-00005,SBI,Chennai,13.02046,80.28295
ATM-00006,Axis,Chennai,13.16114,80.18041
ATM-00007,SBI,Chennai,13.11405,80.29062
ATM-00008,Axis,Chennai,13.1012,80.2459
ATM-00009,PNB,Chennai,12.97388,80.35673
ATM-00010,Union,Chennai,13.06329,80.28046
ATM-00011,ICICI,Chennai,13.03674,80.34657
ATM-00012,Axis,Chennai,12.98743,80.28779
ATM-00013,HDFC,Chennai,13.05208,80.28216
ATM-00014,BOB,Chennai,13.09815,80.29926
ATM-00015,Kotak,Chennai,13.126,80.25332
ATM-00016,Kotak,Chennai,13.07444,80.37233
ATM-00017,Axis,Chennai,13.03464,80.34135
ATM-00018,BOB,Chennai,12.98235,80.22276
ATM-00019,PNB,Chennai,13.17273,80.32577
ATM-00020,Canara,Chennai,13.10885,80.16827
ATM-00021,ICICI,Chennai,13.06305,80.33241
ATM-00022,HDFC,Chennai,13.18668,80.25191
ATM-00023,Kotak,Chennai,13.1462,80.28823
ATM-00024,BOB,Chennai,13.04433,80.23474
ATM-00025,HDFC,Chennai,13.10187,80.26019
ATM-00026,HDFC,Chennai,13.18942,80.26448
ATM-00027,Union,Chennai,12.97726,80.31906
ATM-00028,PNB,Chennai,13.20104,80.34796
ATM-00029,Kotak,Chennai,13.13469,80.36359
ATM-00030,ICICI,Chennai,12.96812,80.26151
ATM-00031,Axis,Chennai,13.10932,80.26919
ATM-00032,Axis,Chennai,13.14708,80.18174
ATM-00033,BOB,Chennai,13.0582,80.37074
ATM-00034,Canara,Chennai,12.98204,80.2585
ATM-00035,Yes,Chennai,13.02938,80.18356
ATM-00036,Yes,Chennai,13.17006,80.21752
ATM-00037,Yes,Chennai,13.19945,80.31455
ATM-00038,ICICI,Chennai,13.19256,80.18692
ATM-00039,SBI,Chennai,12.99901,80.30874
ATM-00040,PNB,Chennai,13.07909,80.29209
ATM-00041,Canara,Chennai,13.03036,80.18566
ATM-00042,ICICI,Chennai,13.05132,80.28662
ATM-00043,Union,Chennai,13.12842,80.27442
ATM-00044,BOB,Chennai,13.11989,80.32825
ATM-00045,Canara,Chennai,13.17859,80.33789
ATM-00046,HDFC,Chennai,13.05687,80.24645
ATM-00047,Axis,Chennai,13.07827,80.24681
ATM-00048,ICICI,Chennai,12.97886,80.2008
ATM-00049,HDFC,Chennai,12.98908,80.29487
ATM-00050,HDFC,Chennai,12.96276,80.187
ATM-00051,HDFC,Chennai,13.19045,80.298
ATM-00052,ICICI,Chennai,13.17254,80.29808
ATM-00053,Union,Chennai,13.11496,80.38001
ATM-00054,BOB,Chennai,13.0501,80.18018
ATM-00055,BOB,Chennai,13.20104,80.26254
ATM-00056,Kotak,Chennai,13.03754,80.18529
ATM-00057,ICICI,Chennai,13.14038,80.26557
ATM-00058,Canara,Chennai,13.08662,80.19995
ATM-00059,SBI,Chennai,13.04952,80.31632
ATM-00060,HDFC,Chennai,13.14465,80.22224
ATM-00061,Kotak,Chennai,13.12979,80.21337
ATM-00062,Axis,Chennai,13.18068,80.23607
ATM-00063,Kotak,Chennai,13.09052,80.33767
ATM-00064,Axis,Chennai,13.11545,80.29787
ATM-00065,Axis,Chennai,13.15616,80.3471
ATM-00066,SBI,Chennai,13.01068,80.26897
ATM-00067,BOB,Chennai,13.2002,80.34033
ATM-00068,Kotak,Chennai,13.0249,80.31691
ATM-00069,Kotak,Chennai,13.07003,80.37559
ATM-00070,Axis,Chennai,13.1919,80.23821
ATM-00071,Kotak,Chennai,12.98722,80.26352
ATM-00072,Union,Chennai,13.01175,80.30048
ATM-00073,Kotak,Chennai,13.1644,80.26577
ATM-00074,HDFC,Chennai,13.15461,80.17105
ATM-00075,Axis,Chennai,13.18105,80.33845
ATM-00076,Kotak,Chennai,13.07743,80.19355
ATM-00077,Yes,Chennai,12.98352,80.37778
ATM-00078,HDFC,Chennai,13.07386,80.3291
ATM-00079,ICICI,Chennai,13.13665,80.1915
ATM-00080,BOB,Chennai,12.96931,80.29249
ATM-00081,Union,Chennai,13.15626,80.18578
ATM-00082,Kotak,Chennai,13.19797,80.30844
ATM-00083,SBI,Chennai,13.00012,80.28229
ATM-00084,HDFC,Chennai,12.96612,80.38371
ATM-00085,Yes,Chennai,13.08908,80.37477
ATM-00086,Axis,Chennai,13.19947,80.19745
ATM-00087,Canara,Chennai,12.96942,80.20177
ATM-00088,PNB,Chennai,13.02043,80.29144
ATM-00089,SBI,Chennai,13.09334,80.35091
ATM-00090,BOB,Chennai,13.1811,80.23561
ATM-00091,Canara,Chennai,13.12169,80.34631
ATM-00092,Canara,Chennai,13.06365,80.37095
ATM-00093,Canara,Chennai,12.99408,80.18714
ATM-00094,ICICI,Chennai,12.96719,80.25633
ATM-00095,ICICI,Chennai,13.10875,80.33695
ATM-00096,HDFC,Chennai,13.00406,80.26434
ATM-00097,Canara,Chennai,13.09625,80.22894
ATM-00098,HDFC,Chennai,13.09007,80.2665
ATM-00099,Axis,Chennai,13.17467,80.16434
ATM-00100,Canara,Chennai,13.02916,80.33604
ATM-00101,HDFC,Chennai,13.07122,80.15739
ATM-00102,Canara,Chennai,13.06908,80.29771
ATM-00103,PNB,Chennai,13.10817,80.19856
ATM-00104,BOB,Chennai,13.07126,80.27869
ATM-00105,Canara,Chennai,13.08456,80.21014
ATM-00106,PNB,Chennai,13.17307,80.37682
ATM-00107,Axis,Chennai,13.18417,80.36496
ATM-00108,HDFC,Chennai,13.1643,80.18361
ATM-00109,Axis,Chennai,13.05687,80.22654
ATM-00110,PNB,Chennai,13.0655,80.20175
ATM-00111,ICICI,Chennai,13.15084,80.36599
ATM-00112,Kotak,Chennai,13.18818,80.30513
ATM-00113,BOB,Chennai,12.99701,80.36258
ATM-00114,Yes,Chennai,13.0154,80.3793
ATM-00115,Axis,Chennai,13.17508,80.18977
ATM-00116,Canara,Chennai,13.00145,80.25427
ATM-00117,Kotak,Chennai,13.05961,80.25181
ATM-00118,SBI,Chennai,13.03915,80.32402
ATM-00119,SBI,Chennai,13.04382,80.26078
ATM-00120,PNB,Chennai,13.05494,80.27488
ATM-00121,Axis,Chennai,13.08564,80.16613
ATM-00122,PNB,Chennai,13.19591,80.17585
ATM-00123,ICICI,Chennai,13.02796,80.36812
ATM-00124,Yes,Chennai,13.02761,80.18179
ATM-00125,PNB,Chennai,13.1666,80.31293
ATM-00126,Canara,Chennai,13.06013,80.27948
ATM-00127,HDFC,Chennai,13.09964,80.3188
ATM-00128,ICICI,Chennai,13.02967,80.3426
ATM-00129,SBI,Chennai,13.06478,80.16808
ATM-00130,HDFC,Chennai,13.11497,80.34309
ATM-00131,PNB,Chennai,13.10866,80.20408
ATM-00132,Kotak,Chennai,13.16977,80.25961
ATM-00133,PNB,Chennai,13.20133,80.25096
ATM-00134,Axis,Chennai,13.11191,80.16107
ATM-00135,PNB,Chennai,13.18785,80.38331
ATM-00136,PNB,Chennai,12.97479,80.19912
ATM-00137,Axis,Chennai,13.11358,80.27816
ATM-00138,ICICI,Chennai,13.03229,80.27072
ATM-00139,PNB,Chennai,13.02763,80.34358
ATM-00140,Canara,Chennai,12.97157,80.15512
ATM-00141,BOB,Chennai,13.09495,80.19617
ATM-00142,Yes,Chennai,13.02166,80.25799
ATM-00143,Yes,Chennai,13.12026,80.28172
ATM-00144,Axis,Chennai,13.19557,80.22457
ATM-00145,ICICI,Mumbai,19.19179,72.83995
ATM-00146,SBI,Mumbai,19.05313,72.84111
ATM-00147,PNB,Mumbai,19.15688,72.76112
ATM-00148,Yes,Mumbai,19.05938,72.771
ATM-00149,PNB,Mumbai,19.16493,72.91863
ATM-00150,SBI,Mumbai,19.09971,72.92394
ATM-00151,BOB,Mumbai,19.06627,72.79551
ATM-00152,Kotak,Mumbai,18.95687,72.84509
ATM-00153,Axis,Mumbai,19.18943,72.889
ATM-00154,Axis,Mumbai,18.96427,72.96947
ATM-00155,Yes,Mumbai,19.04158,72.75796
ATM-00156,Axis,Mumbai,18.97613,72.82464
ATM-00157,HDFC,Mumbai,19.01556,72.944
ATM-00158,Yes,Mumbai,19.0194,72.77924
ATM-00159,PNB,Mumbai,19.09683,72.85225
ATM-00160,Union,Mumbai,19.02902,72.81357
ATM-00161,ICICI,Mumbai,19.18583,72.96248
ATM-00162,Union,Mumbai,19.11381,72.92954
ATM-00163,BOB,Mumbai,19.04948,72.83597
ATM-00164,ICICI,Mumbai,18.99187,72.9315
ATM-00165,Canara,Mumbai,18.96651,72.95817
ATM-00166,Canara,Mumbai,19.10656,72.93382
ATM-00167,Canara,Mumbai,18.98943,72.8834
ATM-00168,SBI,Mumbai,19.09244,72.9528
ATM-00169,Axis,Mumbai,19.15434,72.89787
ATM-00170,Kotak,Mumbai,18.97642,72.76775
ATM-00171,BOB,Mumbai,19.18628,72.84809
ATM-00172,Canara,Mumbai,19.09005,72.90836
ATM-00173,SBI,Mumbai,19.11936,72.87513
