complaint_id,timestamp,city,complaint_type,phone_hash,bank_ref,description,lat,lon,withdrawal_flag,withdrawal_atm_id,withdrawal_time
CMP-2024-0001,2024-09-26 23:08:57,Jaipur,KYC Fraud,609d10a7553b780e,ICICI530764,Fraudster posing as bank official updated KYC and drained the account.,26.86848,75.8369,no,,
CMP-2024-0002,2024-03-16 23:45:27,Coimbatore,Phishing,22616d28d6f69dc6,UNION427626,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,10.97229,76.97918,yes,ATM-0337,2024-03-18 10:28:30
CMP-2024-0003,2024-01-31 09:06:02,Kolkata,SIM Swap,0ee70945485917f0,ICICI899649,SIM swapped without consent; OTPs intercepted and account emptied.,22.50617,88.28175,yes,ATM-0288,2024-02-03 07:16:04
CMP-2023-0004,2023-11-29 04:09:28,Lucknow,SIM Swap,e1238bcc38d2e210,UNION789786,SIM swapped without consent; OTPs intercepted and account emptied.,26.94554,80.87643,yes,ATM-0360,2023-12-01 11:03:05
CMP-2024-0005,2024-07-12 02:07:44,Kolkata,Phishing,e00fda33f6b03bf4,SBIN693830,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,22.6198,88.23478,no,,
CMP-2024-0006,2024-10-30 05:40:25,Mumbai,SIM Swap,19fdc710c479af5d,YESB540226,SIM swapped without consent; OTPs intercepted and account emptied.,19.06209,72.77492,yes,ATM-0167,2024-11-01 13:36:21
CMP-2022-0007,2022-05-28 14:20:22,Mumbai,Phishing,cc25620f06909153,SBIN891083,Victim received fraudulent email/SMS posing as bank and disclosed credentials.,19.11135,72.92989,yes,ATM-0339,2022-05-29 20:52:07
CMP-2022-0008,2022-08-23 02:29:05,Pune,Lottery Scam,ab0989e5e0da11a1,CNRB219346,Victim paid processing fee for fake lottery winnings and lost money.,18.47395,73.73997,no,,
CMP-2022-0009,2022-07-23 13:22:17,Jaipur,Lottery Scam,ba4d56a5f375b4cd,AXIS514463,Victim paid processing fee for fake lottery winnings and lost money.,27.05773,75.65373,yes,ATM-0109,2022-07-25 20:37:14
CMP-2023-0010,2023-08-02 06:38:11,Hyderabad,KYC Fraud,e68ede4d174c4d28,HDFC621546,Fraudster posing as bank official updated KYC and drained the account.,17.4591,78.38941,yes,ATM-0361,2023-08-02 23:12:16
CMP-2022-0011,2022-05-09 03:55:12,Surat,KYC Fraud,ac09dc04ba6841da,YESB878086,Fraudster posing as bank official updated KYC and drained the account.,21.03289,72.68672,no,,
CMP-2024-0012,2024-03-03 21:11:34,Lucknow,Loan Fraud,ee12c445ac246bbf,YESB843963,Fraudulent loan approved in victim's name; money diverted to mule account.,26.88874,80.88305,yes,ATM-0167,2024-03-04 09:34:04
CMP-2024-0013,2024-09-07 05:21:03,Ahmedabad,KYC Fraud,6d4481b8a4fbc453,YESB985506,Fraudster posing as bank official updated KYC and drained the account.,22.90426,72.5521,yes,ATM-0041,2024-09-08 09:50:45
CMP-2020-0014,2020-11-10 19:28:39,Kolkata,Debit Card Fraud,ec11a5311def0b42,SBIN180089,Card cloned at compromised POS terminal; cash withdrawn from ATM.,22.57574,88.24811,no,,
